iter	RMSE
0	0.138002378
1	0.134196652
2	0.1305663672
3	0.1270221484
4	0.1235840898
5	0.1202898496
6	0.1170210797
7	0.1138818992
8	0.1109129393
9	0.1079978356
10	0.1051593234
11	0.1023930182
12	0.09972711798
13	0.09708002872
14	0.09458959685
15	0.09213808751
16	0.08976810571
17	0.08742630797
18	0.08519532432
19	0.08304364963
20	0.08096513267
21	0.07894279511
22	0.07696589176
23	0.07504745784
24	0.07323690419
25	0.07149099801
26	0.0697721645
27	0.06815774481
28	0.06653206795
29	0.06498397291
30	0.06346000129
31	0.06200374608
32	0.06063911576
33	0.05929635592
34	0.05795886602
35	0.05670954206
36	0.05547766483
37	0.05426305119
38	0.0531188973
39	0.05196845774
40	0.05087448468
41	0.04984468169
42	0.04882320916
43	0.04787330017
44	0.04691562484
45	0.04600841847
46	0.04515077056
47	0.04430655703
48	0.04347431714
49	0.0426859646
50	0.04193592442
51	0.04123028272
52	0.04053596236
53	0.03985577554
54	0.03922737657
55	0.03860944335
56	0.03801107071
57	0.03743398154
58	0.03690028616
59	0.0363613957
60	0.0358558665
61	0.03536729383
62	0.0349141214
63	0.03445023807
64	0.034006708
65	0.03359219131
66	0.033198935
67	0.03280766812
68	0.03242363591
69	0.03206890791
70	0.03176543783
71	0.03143997697
72	0.03112342832
73	0.03084034364
74	0.0305625904
75	0.03031018788
76	0.03004604875
77	0.02980916523
78	0.02958787327
79	0.02936169237
80	0.02911386629
81	0.02888234382
82	0.02867688198
83	0.02849902118
84	0.02830968861
85	0.02813681101
86	0.02796358243
87	0.02780690334
88	0.02764463702
89	0.0275053088
90	0.02737299772
91	0.02723486071
92	0.0271208637
93	0.02700491765
94	0.02689720149
95	0.02679932391
96	0.02669922078
97	0.02657765776
98	0.02647839603
99	0.0263942621
100	0.02629296886
101	0.02617972232
102	0.0260759215
103	0.02598867185
104	0.02590379487
105	0.02581209157
106	0.02572645379
107	0.0256631609
108	0.02561375003
109	0.02553422559
110	0.02546323265
111	0.02540653343
112	0.02533420118
113	0.02527209319
114	0.02522851171
115	0.02516896021
116	0.02513431921
117	0.0250960379
118	0.02504636578
119	0.02500712688
120	0.02495882742
121	0.02492945519
122	0.02490285642
123	0.02486654782
124	0.02482096672
125	0.02477650978
126	0.0247304386
127	0.02470213623
128	0.02467200301
129	0.02463366216
130	0.02459445778
131	0.02457198796
132	0.02455422169
133	0.02453306544
134	0.02451067157
