iter	RMSE
0	0.139314749
1	0.1367369113
2	0.1341843221
3	0.1316780139
4	0.1291903292
5	0.1267938722
6	0.1244669461
7	0.122169836
8	0.119934259
9	0.1177211641
10	0.1155841353
11	0.113505258
12	0.1114590692
13	0.1093792152
14	0.1073509634
15	0.1053931763
16	0.1034469208
17	0.1015424271
18	0.09968370593
19	0.09788294127
20	0.09609424651
21	0.09437738298
22	0.09267026932
23	0.09096580752
24	0.08927026929
25	0.08765868733
26	0.08607598123
27	0.08451470961
28	0.08296242147
29	0.08145360533
30	0.07999400788
31	0.07855354716
32	0.07712574984
33	0.07572474415
34	0.07435650481
35	0.07304297459
36	0.07173197568
37	0.07042800919
38	0.06917374629
39	0.06797837103
40	0.06677527725
41	0.06559139235
42	0.06440175937
43	0.06327093834
44	0.06216006595
45	0.06107574934
46	0.06001050992
47	0.05895981932
48	0.05791919652
49	0.05689492243
50	0.05587977511
51	0.05489374886
52	0.0539471317
53	0.0530008353
54	0.05206660013
55	0.05115794158
56	0.05025595738
57	0.04941641993
58	0.04854637366
59	0.04771901877
60	0.04690159578
61	0.04612078124
62	0.04534444394
63	0.04457207463
64	0.04382670164
65	0.04306409893
66	0.04234241935
67	0.04162094822
68	0.04092910302
69	0.04025307853
70	0.0395791087
71	0.03891223884
72	0.03828917108
73	0.03764250029
74	0.03702140542
75	0.03640662625
76	0.03580714261
77	0.03521076884
78	0.0346284505
79	0.03407028099
80	0.03350003411
81	0.0329574395
82	0.03242529678
83	0.03190166213
84	0.03139907816
85	0.03090186746
86	0.03039024372
87	0.02991474835
88	0.02945686767
89	0.02900119339
90	0.0285372072
91	0.0281077731
92	0.02767823625
93	0.0272625458
94	0.02685797359
95	0.02644731201
96	0.02604478496
97	0.02564751939
98	0.02525487069
99	0.02488861315
100	0.02452693454
101	0.02416542245
102	0.0238231481
103	0.02348242617
104	0.02314454724
105	0.02282019695
106	0.02250150666
107	0.02219503597
108	0.02189061673
109	0.02158904059
110	0.02129481329
111	0.02100625625
112	0.02072066379
113	0.02045118588
114	0.02018769361
115	0.01992365353
116	0.01966296702
117	0.01941382373
118	0.01916585004
119	0.01892639558
120	0.01868029425
121	0.01846001024
122	0.01824188323
123	0.01802184004
124	0.01780943212
